,Subject,Age,Gender,Handedness,Shape,Label,Identity,Matching,Response,RT_ms,RT_sec,ACC,Country
1,1,NA,,,Dreieck.png,Ich,Self,Matching,d,934,0.934,1,Germany
2,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1427,1.427,1,Germany
3,1,NA,,,Dreieck.png,Ich,Self,Matching,d,739,0.739,1,Germany
4,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,862,0.862,1,Germany
5,1,NA,,,Dreieck.png,Ich,Self,Matching,d,806,0.806,1,Germany
6,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1019,1.019,1,Germany
7,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,738,0.738,1,Germany
8,1,NA,,,Dreieck.png,Ich,Self,Matching,d,592,0.592,1,Germany
9,1,NA,,,Dreieck.png,Ich,Self,Matching,d,796,0.796,1,Germany
10,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1358,1.358,1,Germany
11,1,NA,,,Dreieck.png,Ich,Self,Matching,d,998,0.998,1,Germany
12,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,694,0.694,1,Germany
13,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1278,1.278,1,Germany
14,1,NA,,,Dreieck.png,Ich,Self,Matching,d,718,0.718,1,Germany
15,1,NA,,,Dreieck.png,Ich,Self,Matching,d,586,0.586,1,Germany
16,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,680,0.68,1,Germany
17,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,999,0.999,1,Germany
18,1,NA,,,Dreieck.png,Ich,Self,Matching,d,560,0.56,1,Germany
19,1,NA,,,Dreieck.png,Ich,Self,Matching,d,679,0.679,1,Germany
20,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1105,1.105,1,Germany
21,1,NA,,,Dreieck.png,Ich,Self,Matching,d,504,0.504,1,Germany
22,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,848,0.848,1,Germany
23,1,NA,,,Dreieck.png,Ich,Self,Matching,d,739,0.739,1,Germany
24,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1002,1.002,1,Germany
25,1,NA,,,Dreieck.png,Ich,Self,Matching,d,684,0.684,1,Germany
26,1,NA,,,Kreis.png,Fremder,Stranger,Matching,k,895,0.895,0,Germany
27,1,NA,,,Dreieck.png,Ich,Self,Matching,d,624,0.624,1,Germany
28,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,822,0.822,1,Germany
29,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,749,0.749,1,Germany
30,1,NA,,,Dreieck.png,Ich,Self,Matching,d,782,0.782,1,Germany
31,1,NA,,,Dreieck.png,Ich,Self,Matching,d,1061,1.061,1,Germany
32,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1104,1.104,1,Germany
33,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,801,0.801,1,Germany
34,1,NA,,,Dreieck.png,Ich,Self,Matching,d,355,0.355,1,Germany
35,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,674,0.674,1,Germany
36,1,NA,,,Dreieck.png,Ich,Self,Matching,d,635,0.635,1,Germany
37,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,940,0.94,1,Germany
38,1,NA,,,Dreieck.png,Ich,Self,Matching,d,627,0.627,1,Germany
39,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,999,0.999,1,Germany
40,1,NA,,,Dreieck.png,Ich,Self,Matching,d,716,0.716,1,Germany
41,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,2090,2.09,1,Germany
42,1,NA,,,Dreieck.png,Ich,Self,Matching,d,807,0.807,1,Germany
43,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,718,0.718,1,Germany
44,1,NA,,,Dreieck.png,Ich,Self,Matching,d,713,0.713,1,Germany
45,1,NA,,,Dreieck.png,Ich,Self,Matching,d,612,0.612,1,Germany
46,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,839,0.839,1,Germany
47,1,NA,,,Dreieck.png,Ich,Self,Matching,d,782,0.782,1,Germany
48,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1195,1.195,1,Germany
49,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1479,1.479,1,Germany
50,1,NA,,,Dreieck.png,Ich,Self,Matching,d,668,0.668,1,Germany
51,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,447,0.447,1,Germany
52,1,NA,,,Dreieck.png,Ich,Self,Matching,d,1132,1.132,1,Germany
53,1,NA,,,Dreieck.png,Ich,Self,Matching,d,1018,1.018,1,Germany
54,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1136,1.136,1,Germany
55,1,NA,,,Dreieck.png,Ich,Self,Matching,d,704,0.704,1,Germany
56,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,1190,1.19,1,Germany
57,1,NA,,,Kreis.png,Fremder,Stranger,Matching,k,435,0.435,0,Germany
58,1,NA,,,Dreieck.png,Ich,Self,Matching,d,641,0.641,1,Germany
59,1,NA,,,Dreieck.png,Ich,Self,Matching,d,690,0.69,1,Germany
60,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,551,0.551,1,Germany
61,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,720,0.72,1,Germany
62,1,NA,,,Dreieck.png,Ich,Self,Matching,d,777,0.777,1,Germany
63,1,NA,,,Kreis.png,Fremder,Stranger,Matching,d,987,0.987,1,Germany
64,1,NA,,,Dreieck.png,Ich,Self,Matching,d,661,0.661,1,Germany
