,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
67,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,552,0.551,1,China
68,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,528,0.528,1,China
69,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,488,0.488,1,China
70,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,455,0.455,1,China
71,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,600,0.6,1,China
72,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,702,0.703,1,China
73,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,822,0.822,1,China
74,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,626,0.626,1,China
75,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,734,0.734,1,China
76,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,582,0.583,1,China
77,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,648,0.648,1,China
78,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,n,1,543,0.543,0,China
79,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,672,0.672,1,China
80,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,574,0.574,1,China
81,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,623,0.623,1,China
82,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,677,0.677,1,China
83,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,642,0.642,1,China
84,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,678,0.678,1,China
85,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,528,0.528,1,China
86,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,762,0.762,1,China
87,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,632,0.632,1,China
88,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,699,0.699,1,China
89,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,648,0.647,1,China
90,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,538,0.538,1,China
91,7302,22,female,R,immoralSelf,immoralSelf,Matching,Self,Bad,m,1,821,0.821,1,China
