,Subject,Label,Shape,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
80,1,Friend,Self,Matching,Self,Self,Self,288,0.288,1,United Kingdom
81,1,Friend,Self,Matching,Self,Self,Self,277,0.277,1,United Kingdom
82,1,Friend,Self,Matching,Self,Self,Self,251,0.251,1,United Kingdom
83,1,Friend,Self,Matching,Self,Self,Self,213,0.213,1,United Kingdom
84,1,Friend,Self,Matching,Self,Self,Self,281,0.281,1,United Kingdom
85,1,Friend,Self,Matching,Self,Self,Self,398,0.398,1,United Kingdom
86,1,Friend,Self,Matching,Self,Self,Self,325,0.325,1,United Kingdom
87,1,Friend,Self,Matching,Self,Self,Self,292,0.292,1,United Kingdom
88,1,Friend,Self,Matching,Self,Self,Self,562,0.562,1,United Kingdom
89,1,Friend,Self,Matching,Self,Self,Self,424,0.424,1,United Kingdom
90,1,Friend,Self,Matching,Self,Self,Self,440,0.44,1,United Kingdom
91,1,Friend,Self,Matching,Self,Self,Self,470,0.47,1,United Kingdom
92,1,Friend,Self,Matching,Self,Self,Self,471,0.471,1,United Kingdom
93,1,Friend,Self,Matching,Self,Self,Self,448,0.448,1,United Kingdom
94,1,Friend,Self,Matching,Self,Self,Self,516,0.516,1,United Kingdom
95,1,Friend,Self,Matching,Self,Self,Self,364,0.364,1,United Kingdom
96,1,Friend,Self,Matching,Self,Self,Self,523,0.523,1,United Kingdom
97,1,Friend,Self,Matching,Self,Self,Self,320,0.32,1,United Kingdom
98,1,Friend,Self,Matching,Self,Self,Self,335,0.335,1,United Kingdom
99,1,Friend,Self,Matching,Self,Self,Self,271,0.271,1,United Kingdom
100,1,Friend,Self,Matching,Self,Self,Self,546,0.546,1,United Kingdom
101,1,Friend,Self,Matching,Self,Self,Self,493,0.493,1,United Kingdom
102,1,Friend,Self,Matching,Self,Self,Self,293,0.293,1,United Kingdom
103,1,Friend,Self,Matching,Self,Self,Self,491,0.491,1,United Kingdom
104,1,Friend,Self,Matching,Self,Self,Self,507,0.507,1,United Kingdom
105,1,Friend,Self,Matching,Self,Self,Self,574,0.574,1,United Kingdom
106,1,Friend,Self,Matching,Self,Self,Self,519,0.519,1,United Kingdom
107,1,Friend,Self,Matching,Self,Self,Self,331,0.331,1,United Kingdom
108,1,Friend,Self,Matching,Self,Self,Self,586,0.586,1,United Kingdom
109,1,Friend,Self,Matching,Self,Self,Self,703,0.703,1,United Kingdom
110,1,Friend,Self,Matching,Self,Self,Self,592,0.592,1,United Kingdom
111,1,Friend,Self,Matching,Self,Self,Self,318,0.318,1,United Kingdom
112,1,Friend,Self,Matching,Self,Self,Self,518,0.518,1,United Kingdom
113,1,Friend,Self,Matching,Self,Self,Self,691,0.691,1,United Kingdom
114,1,Friend,Self,Matching,Self,Self,Self,492,0.492,1,United Kingdom
115,1,Friend,Self,Matching,Self,Self,Self,446,0.446,1,United Kingdom
116,1,Friend,Self,Matching,Self,Self,Self,942,0.942,1,United Kingdom
117,1,Friend,Self,Matching,Self,Self,Self,529,0.529,1,United Kingdom
118,1,Friend,Self,Matching,Self,Self,Self,409,0.409,1,United Kingdom
119,1,Friend,Self,Matching,Self,Self,Self,612,0.612,1,United Kingdom
120,1,Friend,Self,Matching,Self,Self,Self,595,0.595,1,United Kingdom
121,1,Friend,Self,Matching,Self,Self,Self,335,0.335,1,United Kingdom
122,1,Friend,Self,Matching,Self,Self,Self,595,0.595,1,United Kingdom
123,1,Friend,Self,Matching,Self,Self,Self,379,0.379,1,United Kingdom
124,1,Friend,Self,Matching,Self,Self,Self,534,0.534,1,United Kingdom
125,1,Friend,Self,Matching,Self,Self,Self,582,0.582,1,United Kingdom
126,1,Friend,Self,Matching,Self,Self,Self,473,0.473,1,United Kingdom
127,1,Friend,Self,Matching,Self,Self,Self,287,0.287,1,United Kingdom
128,1,Friend,Self,Matching,Self,Self,Self,480,0.48,1,United Kingdom
129,1,Friend,Self,Matching,Self,Self,Self,368,0.368,1,United Kingdom
130,1,Self,Self,Matching,Self,Self,Self,449,0.449,1,United Kingdom
131,1,Self,Self,Matching,Self,Self,Self,481,0.481,1,United Kingdom
132,1,Self,Self,Matching,Self,Self,Self,603,0.603,1,United Kingdom
133,1,Self,Self,Matching,Self,Self,Self,730,0.73,1,United Kingdom
134,1,Self,Self,Matching,Self,Self,Self,702,0.702,1,United Kingdom
135,1,Self,Self,Matching,Self,Self,Self,517,0.517,1,United Kingdom
136,1,Self,Self,Matching,Self,Self,Self,560,0.56,1,United Kingdom
137,1,Self,Self,Matching,Self,Self,Self,692,0.692,1,United Kingdom
138,1,Self,Self,Matching,Self,Self,Self,734,0.734,1,United Kingdom
139,1,Self,Self,Matching,Self,Self,Self,627,0.627,1,United Kingdom
140,1,Self,Self,Matching,Self,Self,Self,715,0.715,1,United Kingdom
141,1,Self,Self,Matching,Self,Self,Self,887,0.887,1,United Kingdom
142,1,Self,Self,Matching,Self,Self,Self,495,0.495,1,United Kingdom
143,1,Self,Self,Matching,Self,Self,Self,586,0.586,1,United Kingdom
144,1,Self,Self,Matching,Self,Self,Self,684,0.684,1,United Kingdom
145,1,Self,Self,Matching,Self,Self,Self,868,0.868,1,United Kingdom
146,1,Self,Self,Matching,Self,Self,Self,561,0.561,1,United Kingdom
147,1,Friend,Friend,Nonmatching,Friend,Friend,Close,289,0.289,0,United Kingdom
148,1,Friend,Friend,Nonmatching,Friend,Friend,Close,257,0.257,0,United Kingdom
149,1,Friend,Friend,Nonmatching,Friend,Friend,Close,871,0.871,0,United Kingdom
150,1,Friend,Friend,Nonmatching,Friend,Friend,Close,249,0.249,0,United Kingdom
151,1,Friend,Friend,Nonmatching,Friend,Friend,Close,425,0.425,0,United Kingdom
152,1,Friend,Friend,Nonmatching,Friend,Friend,Close,494,0.494,0,United Kingdom
153,1,Friend,Friend,Nonmatching,Friend,Friend,Close,540,0.54,0,United Kingdom
154,1,Friend,Friend,Nonmatching,Friend,Friend,Close,316,0.316,0,United Kingdom
155,1,Friend,Friend,Nonmatching,Friend,Friend,Close,505,0.505,0,United Kingdom
156,1,Friend,Friend,Nonmatching,Friend,Friend,Close,791,0.791,0,United Kingdom
157,1,Self,Friend,Nonmatching,Friend,Friend,Close,554,0.554,0,United Kingdom
158,1,Self,Friend,Nonmatching,Friend,Friend,Close,690,0.69,0,United Kingdom
159,1,Self,Friend,Nonmatching,Friend,Friend,Close,516,0.516,0,United Kingdom
160,1,Self,Friend,Nonmatching,Friend,Friend,Close,505,0.505,0,United Kingdom
161,1,Self,Friend,Nonmatching,Friend,Friend,Close,473,0.473,0,United Kingdom
162,1,Self,Friend,Nonmatching,Friend,Friend,Close,245,0.245,0,United Kingdom
163,1,Self,Friend,Nonmatching,Friend,Friend,Close,512,0.512,0,United Kingdom
164,1,Self,Friend,Nonmatching,Friend,Friend,Close,547,0.547,0,United Kingdom
165,1,Self,Friend,Nonmatching,Friend,Friend,Close,502,0.502,0,United Kingdom
166,1,Self,Friend,Nonmatching,Friend,Friend,Close,534,0.534,0,United Kingdom
167,1,Self,Friend,Nonmatching,Friend,Friend,Close,517,0.517,0,United Kingdom
168,1,Self,Friend,Nonmatching,Friend,Friend,Close,615,0.615,0,United Kingdom
169,1,Friend,Friend,Nonmatching,Friend,Friend,Close,457,0.457,1,United Kingdom
170,1,Friend,Friend,Nonmatching,Friend,Friend,Close,528,0.528,1,United Kingdom
171,1,Friend,Friend,Nonmatching,Friend,Friend,Close,429,0.429,1,United Kingdom
172,1,Friend,Friend,Nonmatching,Friend,Friend,Close,548,0.548,1,United Kingdom
173,1,Friend,Friend,Nonmatching,Friend,Friend,Close,771,0.771,1,United Kingdom
174,1,Friend,Friend,Nonmatching,Friend,Friend,Close,688,0.688,1,United Kingdom
175,1,Friend,Friend,Nonmatching,Friend,Friend,Close,973,0.973,1,United Kingdom
176,1,Friend,Friend,Nonmatching,Friend,Friend,Close,652,0.652,1,United Kingdom
177,1,Friend,Friend,Nonmatching,Friend,Friend,Close,544,0.544,1,United Kingdom
178,1,Self,Friend,Nonmatching,Friend,Friend,Close,631,0.631,1,United Kingdom
179,1,Self,Friend,Nonmatching,Friend,Friend,Close,509,0.509,1,United Kingdom
180,1,Self,Friend,Nonmatching,Friend,Friend,Close,777,0.777,1,United Kingdom
181,1,Self,Friend,Nonmatching,Friend,Friend,Close,340,0.34,1,United Kingdom
182,1,Self,Friend,Nonmatching,Friend,Friend,Close,467,0.467,1,United Kingdom
183,1,Self,Friend,Nonmatching,Friend,Friend,Close,413,0.413,1,United Kingdom
184,1,Self,Friend,Nonmatching,Friend,Friend,Close,502,0.502,1,United Kingdom
185,1,Self,Friend,Nonmatching,Friend,Friend,Close,466,0.466,1,United Kingdom
186,1,Self,Friend,Nonmatching,Friend,Friend,Close,661,0.661,1,United Kingdom
187,1,Self,Friend,Nonmatching,Friend,Friend,Close,712,0.712,1,United Kingdom
188,1,Self,Friend,Nonmatching,Friend,Friend,Close,840,0.84,1,United Kingdom
189,1,Self,Friend,Nonmatching,Friend,Friend,Close,710,0.71,1,United Kingdom
190,1,Self,Friend,Nonmatching,Friend,Friend,Close,811,0.811,1,United Kingdom
191,1,Self,Friend,Nonmatching,Friend,Friend,Close,607,0.607,1,United Kingdom
192,1,Self,Friend,Nonmatching,Friend,Friend,Close,980,0.98,1,United Kingdom
193,1,Self,Friend,Nonmatching,Friend,Friend,Close,536,0.536,1,United Kingdom
194,1,Self,Friend,Nonmatching,Friend,Friend,Close,472,0.472,1,United Kingdom
195,1,Self,Friend,Nonmatching,Friend,Friend,Close,638,0.638,1,United Kingdom
196,1,Self,Friend,Nonmatching,Friend,Friend,Close,1018,1.018,1,United Kingdom
197,1,Self,Friend,Nonmatching,Friend,Friend,Close,525,0.525,1,United Kingdom
198,1,Self,Friend,Nonmatching,Friend,Friend,Close,454,0.454,1,United Kingdom
199,1,Self,Friend,Nonmatching,Friend,Friend,Close,732,0.732,1,United Kingdom
200,1,Self,Friend,Nonmatching,Friend,Friend,Close,693,0.693,1,United Kingdom
201,1,Self,Friend,Nonmatching,Friend,Friend,Close,583,0.583,1,United Kingdom
202,1,Self,Friend,Nonmatching,Friend,Friend,Close,1038,1.038,1,United Kingdom
203,1,Self,Friend,Nonmatching,Friend,Friend,Close,881,0.881,1,United Kingdom
204,1,Self,Friend,Nonmatching,Friend,Friend,Close,481,0.481,1,United Kingdom
205,1,Self,Friend,Nonmatching,Friend,Friend,Close,802,0.802,1,United Kingdom
206,1,Self,Friend,Nonmatching,Friend,Friend,Close,852,0.852,1,United Kingdom
207,1,Self,Friend,Nonmatching,Friend,Friend,Close,648,0.648,1,United Kingdom
208,1,Self,Friend,Nonmatching,Friend,Friend,Close,421,0.421,1,United Kingdom
209,1,Self,Friend,Nonmatching,Friend,Friend,Close,882,0.882,1,United Kingdom
210,1,Self,Friend,Nonmatching,Friend,Friend,Close,736,0.736,1,United Kingdom
211,1,Self,Friend,Nonmatching,Friend,Friend,Close,677,0.677,1,United Kingdom
212,1,Self,Friend,Nonmatching,Friend,Friend,Close,690,0.69,1,United Kingdom
213,1,Self,Friend,Nonmatching,Friend,Friend,Close,931,0.931,1,United Kingdom
214,1,Self,Friend,Nonmatching,Friend,Friend,Close,469,0.469,1,United Kingdom
215,1,Self,Friend,Nonmatching,Friend,Friend,Close,982,0.982,1,United Kingdom
216,1,Self,Friend,Nonmatching,Friend,Friend,Close,536,0.536,1,United Kingdom
217,1,Self,Friend,Nonmatching,Friend,Friend,Close,658,0.658,1,United Kingdom
218,1,Self,Friend,Nonmatching,Friend,Friend,Close,831,0.831,1,United Kingdom
219,1,Self,Friend,Nonmatching,Friend,Friend,Close,755,0.755,1,United Kingdom
220,1,Self,Friend,Nonmatching,Friend,Friend,Close,740,0.74,1,United Kingdom
221,1,Self,Friend,Nonmatching,Friend,Friend,Close,625,0.625,1,United Kingdom
222,1,Self,Friend,Nonmatching,Friend,Friend,Close,615,0.615,1,United Kingdom
223,1,Self,Friend,Nonmatching,Friend,Friend,Close,618,0.618,1,United Kingdom
224,1,Self,Friend,Nonmatching,Friend,Friend,Close,487,0.487,1,United Kingdom
225,1,Self,Friend,Nonmatching,Friend,Friend,Close,529,0.529,1,United Kingdom
226,1,Friend,Self,Nonmatching,Self,Self,Self,277,0.277,0,United Kingdom
227,1,Friend,Self,Nonmatching,Self,Self,Self,266,0.266,0,United Kingdom
228,1,Friend,Self,Nonmatching,Self,Self,Self,406,0.406,0,United Kingdom
229,1,Friend,Self,Nonmatching,Self,Self,Self,352,0.352,0,United Kingdom
230,1,Friend,Self,Nonmatching,Self,Self,Self,269,0.269,0,United Kingdom
231,1,Friend,Self,Nonmatching,Self,Self,Self,332,0.332,0,United Kingdom
232,1,Friend,Self,Nonmatching,Self,Self,Self,532,0.532,0,United Kingdom
233,1,Friend,Self,Nonmatching,Self,Self,Self,445,0.445,0,United Kingdom
234,1,Friend,Self,Nonmatching,Self,Self,Self,565,0.565,0,United Kingdom
235,1,Self,Self,Nonmatching,Self,Self,Self,375,0.375,0,United Kingdom
236,1,Self,Self,Nonmatching,Self,Self,Self,321,0.321,0,United Kingdom
237,1,Self,Self,Nonmatching,Self,Self,Self,905,0.905,0,United Kingdom
238,1,Self,Self,Nonmatching,Self,Self,Self,412,0.412,0,United Kingdom
239,1,Self,Self,Nonmatching,Self,Self,Self,748,0.748,0,United Kingdom
240,1,Friend,Self,Nonmatching,Self,Self,Self,254,0.254,1,United Kingdom
241,1,Friend,Self,Nonmatching,Self,Self,Self,434,0.434,1,United Kingdom
242,1,Friend,Self,Nonmatching,Self,Self,Self,356,0.356,1,United Kingdom
243,1,Friend,Self,Nonmatching,Self,Self,Self,361,0.361,1,United Kingdom
244,1,Friend,Self,Nonmatching,Self,Self,Self,803,0.803,1,United Kingdom
245,1,Friend,Self,Nonmatching,Self,Self,Self,495,0.495,1,United Kingdom
246,1,Friend,Self,Nonmatching,Self,Self,Self,244,0.244,1,United Kingdom
247,1,Friend,Self,Nonmatching,Self,Self,Self,355,0.355,1,United Kingdom
248,1,Friend,Self,Nonmatching,Self,Self,Self,373,0.373,1,United Kingdom
249,1,Friend,Self,Nonmatching,Self,Self,Self,394,0.394,1,United Kingdom
250,1,Friend,Self,Nonmatching,Self,Self,Self,214,0.214,1,United Kingdom
251,1,Friend,Self,Nonmatching,Self,Self,Self,297,0.297,1,United Kingdom
252,1,Friend,Self,Nonmatching,Self,Self,Self,369,0.369,1,United Kingdom
253,1,Friend,Self,Nonmatching,Self,Self,Self,463,0.463,1,United Kingdom
254,1,Friend,Self,Nonmatching,Self,Self,Self,432,0.432,1,United Kingdom
255,1,Friend,Self,Nonmatching,Self,Self,Self,429,0.429,1,United Kingdom
256,1,Friend,Self,Nonmatching,Self,Self,Self,415,0.415,1,United Kingdom
257,1,Friend,Self,Nonmatching,Self,Self,Self,353,0.353,1,United Kingdom
258,1,Friend,Self,Nonmatching,Self,Self,Self,754,0.754,1,United Kingdom
259,1,Friend,Self,Nonmatching,Self,Self,Self,411,0.411,1,United Kingdom
260,1,Friend,Self,Nonmatching,Self,Self,Self,375,0.375,1,United Kingdom
261,1,Friend,Self,Nonmatching,Self,Self,Self,483,0.483,1,United Kingdom
262,1,Friend,Self,Nonmatching,Self,Self,Self,422,0.422,1,United Kingdom
263,1,Friend,Self,Nonmatching,Self,Self,Self,1009,1.009,1,United Kingdom
264,1,Friend,Self,Nonmatching,Self,Self,Self,462,0.462,1,United Kingdom
265,1,Friend,Self,Nonmatching,Self,Self,Self,419,0.419,1,United Kingdom
266,1,Friend,Self,Nonmatching,Self,Self,Self,566,0.566,1,United Kingdom
267,1,Friend,Self,Nonmatching,Self,Self,Self,566,0.566,1,United Kingdom
268,1,Friend,Self,Nonmatching,Self,Self,Self,710,0.71,1,United Kingdom
269,1,Friend,Self,Nonmatching,Self,Self,Self,799,0.799,1,United Kingdom
270,1,Friend,Self,Nonmatching,Self,Self,Self,944,0.944,1,United Kingdom
271,1,Friend,Self,Nonmatching,Self,Self,Self,625,0.625,1,United Kingdom
272,1,Friend,Self,Nonmatching,Self,Self,Self,511,0.511,1,United Kingdom
273,1,Friend,Self,Nonmatching,Self,Self,Self,994,0.994,1,United Kingdom
274,1,Friend,Self,Nonmatching,Self,Self,Self,523,0.523,1,United Kingdom
275,1,Friend,Self,Nonmatching,Self,Self,Self,871,0.871,1,United Kingdom
276,1,Friend,Self,Nonmatching,Self,Self,Self,739,0.739,1,United Kingdom
277,1,Friend,Self,Nonmatching,Self,Self,Self,726,0.726,1,United Kingdom
278,1,Friend,Self,Nonmatching,Self,Self,Self,444,0.444,1,United Kingdom
279,1,Friend,Self,Nonmatching,Self,Self,Self,555,0.555,1,United Kingdom
280,1,Friend,Self,Nonmatching,Self,Self,Self,454,0.454,1,United Kingdom
281,1,Friend,Self,Nonmatching,Self,Self,Self,593,0.593,1,United Kingdom
282,1,Friend,Self,Nonmatching,Self,Self,Self,846,0.846,1,United Kingdom
283,1,Friend,Self,Nonmatching,Self,Self,Self,914,0.914,1,United Kingdom
284,1,Self,Self,Nonmatching,Self,Self,Self,707,0.707,1,United Kingdom
285,1,Self,Self,Nonmatching,Self,Self,Self,659,0.659,1,United Kingdom
286,1,Self,Self,Nonmatching,Self,Self,Self,562,0.562,1,United Kingdom
287,1,Self,Self,Nonmatching,Self,Self,Self,769,0.769,1,United Kingdom
288,1,Self,Self,Nonmatching,Self,Self,Self,696,0.696,1,United Kingdom
289,1,Self,Self,Nonmatching,Self,Self,Self,693,0.693,1,United Kingdom
290,1,Self,Self,Nonmatching,Self,Self,Self,723,0.723,1,United Kingdom
291,1,Self,Self,Nonmatching,Self,Self,Self,1008,1.008,1,United Kingdom
292,1,Self,Self,Nonmatching,Self,Self,Self,979,0.979,1,United Kingdom
293,1,Self,Self,Nonmatching,Self,Self,Self,391,0.391,1,United Kingdom
294,1,Self,Self,Nonmatching,Self,Self,Self,899,0.899,1,United Kingdom
295,1,Self,Self,Nonmatching,Self,Self,Self,644,0.644,1,United Kingdom
296,2,Self,Friend,Matching,Friend,Friend,Close,559,0.559,0,United Kingdom
297,2,Self,Friend,Matching,Friend,Friend,Close,630,0.63,0,United Kingdom
298,2,Self,Friend,Matching,Friend,Friend,Close,501,0.501,0,United Kingdom
299,2,Self,Friend,Matching,Friend,Friend,Close,659,0.659,0,United Kingdom
300,2,Self,Friend,Matching,Friend,Friend,Close,388,0.388,0,United Kingdom
301,2,Self,Friend,Matching,Friend,Friend,Close,476,0.476,0,United Kingdom
302,2,Self,Friend,Matching,Friend,Friend,Close,259,0.259,0,United Kingdom
303,2,Self,Friend,Matching,Friend,Friend,Close,515,0.515,0,United Kingdom
304,2,Self,Friend,Matching,Friend,Friend,Close,367,0.367,0,United Kingdom
305,2,Self,Friend,Matching,Friend,Friend,Close,367,0.367,0,United Kingdom
306,2,Self,Friend,Matching,Friend,Friend,Close,712,0.712,0,United Kingdom
307,2,Self,Friend,Matching,Friend,Friend,Close,626,0.626,0,United Kingdom
308,2,Self,Friend,Matching,Friend,Friend,Close,376,0.376,0,United Kingdom
309,2,Self,Friend,Matching,Friend,Friend,Close,219,0.219,0,United Kingdom
310,2,Self,Friend,Matching,Friend,Friend,Close,394,0.394,0,United Kingdom
311,2,Self,Friend,Matching,Friend,Friend,Close,480,0.48,0,United Kingdom
312,2,Friend,Friend,Matching,Friend,Friend,Close,1063,1.063,0,United Kingdom
313,2,Friend,Friend,Matching,Friend,Friend,Close,551,0.551,0,United Kingdom
314,2,Friend,Friend,Matching,Friend,Friend,Close,557,0.557,0,United Kingdom
315,2,Friend,Friend,Matching,Friend,Friend,Close,586,0.586,0,United Kingdom
316,2,Friend,Friend,Matching,Friend,Friend,Close,572,0.572,0,United Kingdom
317,2,Friend,Friend,Matching,Friend,Friend,Close,603,0.603,0,United Kingdom
318,2,Friend,Friend,Matching,Friend,Friend,Close,432,0.432,0,United Kingdom
319,2,Friend,Friend,Matching,Friend,Friend,Close,521,0.521,0,United Kingdom
320,2,Friend,Friend,Matching,Friend,Friend,Close,684,0.684,0,United Kingdom
321,2,Friend,Friend,Matching,Friend,Friend,Close,842,0.842,0,United Kingdom
322,2,Self,Friend,Matching,Friend,Friend,Close,731,0.731,1,United Kingdom
323,2,Self,Friend,Matching,Friend,Friend,Close,360,0.36,1,United Kingdom
324,2,Self,Friend,Matching,Friend,Friend,Close,952,0.952,1,United Kingdom
325,2,Self,Friend,Matching,Friend,Friend,Close,421,0.421,1,United Kingdom
326,2,Self,Friend,Matching,Friend,Friend,Close,595,0.595,1,United Kingdom
327,2,Self,Friend,Matching,Friend,Friend,Close,313,0.313,1,United Kingdom
328,2,Self,Friend,Matching,Friend,Friend,Close,383,0.383,1,United Kingdom
329,2,Self,Friend,Matching,Friend,Friend,Close,255,0.255,1,United Kingdom
330,2,Self,Friend,Matching,Friend,Friend,Close,697,0.697,1,United Kingdom
331,2,Self,Friend,Matching,Friend,Friend,Close,409,0.409,1,United Kingdom
332,2,Self,Friend,Matching,Friend,Friend,Close,763,0.763,1,United Kingdom
333,2,Self,Friend,Matching,Friend,Friend,Close,764,0.764,1,United Kingdom
334,2,Self,Friend,Matching,Friend,Friend,Close,407,0.407,1,United Kingdom
