,Subject,Label,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
73,1,Friend,Matching,Friend,Friend,Close,586,0.586,1,United Kingdom
74,1,Friend,Matching,Friend,Friend,Close,420,0.42,1,United Kingdom
75,1,Friend,Matching,Friend,Friend,Close,451,0.451,1,United Kingdom
76,1,Friend,Matching,Friend,Friend,Close,606,0.606,1,United Kingdom
77,1,Friend,Matching,Friend,Friend,Close,555,0.555,1,United Kingdom
78,1,Friend,Matching,Friend,Friend,Close,651,0.651,1,United Kingdom
79,1,Friend,Matching,Friend,Friend,Close,698,0.698,1,United Kingdom
80,1,Friend,Matching,Friend,Friend,Close,559,0.559,1,United Kingdom
81,1,Friend,Matching,Friend,Friend,Close,424,0.424,1,United Kingdom
82,1,Friend,Matching,Friend,Friend,Close,489,0.489,1,United Kingdom
83,1,Friend,Matching,Friend,Friend,Close,614,0.614,0,United Kingdom
84,1,Friend,Matching,Friend,Friend,Close,583,0.583,1,United Kingdom
85,1,Friend,Matching,Friend,Friend,Close,518,0.518,1,United Kingdom
86,1,Friend,Matching,Friend,Friend,Close,680,0.68,1,United Kingdom
87,1,Friend,Matching,Friend,Friend,Close,474,0.474,1,United Kingdom
88,1,Friend,Matching,Friend,Friend,Close,357,0.357,1,United Kingdom
89,1,Friend,Matching,Friend,Friend,Close,915,0.915,1,United Kingdom
90,1,Friend,Matching,Friend,Friend,Close,647,0.647,1,United Kingdom
91,1,Friend,Matching,Friend,Friend,Close,571,0.571,1,United Kingdom
92,1,Friend,Matching,Friend,Friend,Close,494,0.494,1,United Kingdom
93,1,Friend,Matching,Friend,Friend,Close,748,0.748,1,United Kingdom
94,1,Friend,Matching,Friend,Friend,Close,595,0.595,0,United Kingdom
95,1,Self,Matching,Self,Self,Self,729,0.729,1,United Kingdom
96,1,Self,Matching,Self,Self,Self,563,0.563,1,United Kingdom
97,1,Self,Matching,Self,Self,Self,590,0.59,1,United Kingdom
98,1,Self,Matching,Self,Self,Self,480,0.48,1,United Kingdom
99,1,Self,Matching,Self,Self,Self,670,0.67,1,United Kingdom
100,1,Self,Matching,Self,Self,Self,794,0.794,1,United Kingdom
101,1,Self,Matching,Self,Self,Self,600,0.6,1,United Kingdom
102,1,Self,Matching,Self,Self,Self,524,0.524,1,United Kingdom
103,1,Self,Matching,Self,Self,Self,616,0.616,1,United Kingdom
104,1,Self,Matching,Self,Self,Self,683,0.683,1,United Kingdom
105,1,Self,Matching,Self,Self,Self,616,0.616,1,United Kingdom
106,1,Self,Matching,Self,Self,Self,688,0.688,1,United Kingdom
107,1,Self,Matching,Self,Self,Self,640,0.64,1,United Kingdom
108,1,Self,Matching,Self,Self,Self,541,0.541,1,United Kingdom
109,1,Self,Matching,Self,Self,Self,640,0.64,1,United Kingdom
110,1,Self,Matching,Self,Self,Self,523,0.523,1,United Kingdom
111,1,Self,Matching,Self,Self,Self,661,0.661,1,United Kingdom
112,1,Self,Matching,Self,Self,Self,521,0.521,1,United Kingdom
113,1,Self,Matching,Self,Self,Self,592,0.592,1,United Kingdom
114,1,Self,Matching,Self,Self,Self,633,0.633,1,United Kingdom
115,1,Self,Matching,Self,Self,Self,536,0.536,1,United Kingdom
116,1,Self,Matching,Self,Self,Self,1078,1.078,0,United Kingdom
117,1,Self,Matching,Self,Self,Self,611,0.611,1,United Kingdom
118,1,Self,Matching,Self,Self,Self,601,0.601,1,United Kingdom
119,1,Self,Matching,Self,Self,Self,599,0.599,1,United Kingdom
120,1,Self,Matching,Self,Self,Self,571,0.571,1,United Kingdom
121,1,Self,Matching,Self,Self,Self,524,0.524,1,United Kingdom
122,1,Self,Matching,Self,Self,Self,674,0.674,1,United Kingdom
123,1,Self,Matching,Self,Self,Self,763,0.763,1,United Kingdom
124,1,Self,Matching,Self,Self,Self,614,0.614,1,United Kingdom
125,1,Self,Matching,Self,Self,Self,666,0.666,1,United Kingdom
126,1,Self,Matching,Self,Self,Self,678,0.678,1,United Kingdom
127,1,Self,Matching,Self,Self,Self,353,0.353,1,United Kingdom
128,1,Self,Matching,Self,Self,Self,669,0.669,1,United Kingdom
129,1,Self,Matching,Self,Self,Self,682,0.682,1,United Kingdom
130,1,Self,Matching,Self,Self,Self,636,0.636,1,United Kingdom
131,1,Self,Matching,Self,Self,Self,666,0.666,1,United Kingdom
132,1,Self,Matching,Self,Self,Self,950,0.95,1,United Kingdom
133,1,Self,Matching,Self,Self,Self,618,0.618,1,United Kingdom
134,1,Self,Matching,Self,Self,Self,645,0.645,1,United Kingdom
135,1,Self,Matching,Self,Self,Self,568,0.568,1,United Kingdom
136,1,Self,Matching,Self,Self,Self,506,0.506,1,United Kingdom
137,1,Self,Matching,Self,Self,Self,416,0.416,1,United Kingdom
138,1,Self,Matching,Self,Self,Self,606,0.606,1,United Kingdom
139,1,Self,Matching,Self,Self,Self,540,0.54,1,United Kingdom
140,1,Self,Matching,Self,Self,Self,518,0.518,1,United Kingdom
141,1,Self,Matching,Self,Self,Self,801,0.801,1,United Kingdom
142,1,Self,Matching,Self,Self,Self,706,0.706,1,United Kingdom
143,1,Self,Matching,Self,Self,Self,821,0.821,1,United Kingdom
144,1,Self,Matching,Self,Self,Self,654,0.654,1,United Kingdom
145,1,Self,Matching,Self,Self,Self,647,0.647,1,United Kingdom
146,1,Self,Matching,Self,Self,Self,555,0.555,1,United Kingdom
147,1,Self,Matching,Self,Self,Self,863,0.863,1,United Kingdom
148,1,Self,Matching,Self,Self,Self,606,0.606,1,United Kingdom
149,1,Self,Matching,Self,Self,Self,697,0.697,1,United Kingdom
150,1,Self,Matching,Self,Self,Self,1064,1.064,1,United Kingdom
151,1,Self,Matching,Self,Self,Self,799,0.799,1,United Kingdom
152,1,Self,Matching,Self,Self,Self,806,0.806,1,United Kingdom
153,1,Self,Matching,Self,Self,Self,1085,1.085,1,United Kingdom
154,1,Self,Matching,Self,Self,Self,803,0.803,1,United Kingdom
155,1,Self,Matching,Self,Self,Self,736,0.736,1,United Kingdom
156,1,Self,Matching,Self,Self,Self,1040,1.04,1,United Kingdom
157,1,Self,Matching,Self,Self,Self,666,0.666,1,United Kingdom
158,1,Self,Matching,Self,Self,Self,623,0.623,1,United Kingdom
159,1,Self,Matching,Self,Self,Self,547,0.547,1,United Kingdom
160,1,Self,Matching,Self,Self,Self,706,0.706,1,United Kingdom
161,1,Self,Matching,Self,Self,Self,742,0.742,1,United Kingdom
162,1,Self,Matching,Self,Self,Self,651,0.651,1,United Kingdom
163,1,Self,Matching,Self,Self,Self,665,0.665,1,United Kingdom
164,1,Self,Matching,Self,Self,Self,602,0.602,1,United Kingdom
165,1,Self,Matching,Self,Self,Self,745,0.745,1,United Kingdom
166,1,Self,Matching,Self,Self,Self,726,0.726,1,United Kingdom
167,1,Self,Matching,Self,Self,Self,665,0.665,1,United Kingdom
168,1,Friend,Matching,Self,Self,Self,588,0.588,1,United Kingdom
169,1,Friend,Matching,Self,Self,Self,620,0.62,1,United Kingdom
170,1,Friend,Matching,Self,Self,Self,780,0.78,1,United Kingdom
171,1,Friend,Matching,Self,Self,Self,471,0.471,1,United Kingdom
172,1,Friend,Matching,Self,Self,Self,387,0.387,1,United Kingdom
173,1,Friend,Matching,Self,Self,Self,699,0.699,1,United Kingdom
174,1,Friend,Matching,Self,Self,Self,812,0.812,1,United Kingdom
175,1,Friend,Matching,Self,Self,Self,569,0.569,1,United Kingdom
176,1,Friend,Matching,Self,Self,Self,919,0.919,1,United Kingdom
177,1,Friend,Matching,Self,Self,Self,937,0.937,1,United Kingdom
178,1,Friend,Matching,Self,Self,Self,743,0.743,1,United Kingdom
179,1,Friend,Matching,Self,Self,Self,827,0.827,0,United Kingdom
180,1,Friend,Matching,Self,Self,Self,646,0.646,1,United Kingdom
181,1,Friend,Matching,Self,Self,Self,901,0.901,1,United Kingdom
182,1,Friend,Matching,Self,Self,Self,705,0.705,1,United Kingdom
183,1,Friend,Matching,Self,Self,Self,497,0.497,0,United Kingdom
184,1,Friend,Matching,Self,Self,Self,833,0.833,1,United Kingdom
185,1,Friend,Matching,Self,Self,Self,855,0.855,1,United Kingdom
186,1,Friend,Matching,Self,Self,Self,543,0.543,1,United Kingdom
187,1,Friend,Matching,Self,Self,Self,583,0.583,0,United Kingdom
188,1,Friend,Matching,Self,Self,Self,339,0.339,1,United Kingdom
189,1,Friend,Matching,Self,Self,Self,592,0.592,1,United Kingdom
190,1,Friend,Matching,Self,Self,Self,500,0.5,1,United Kingdom
191,1,Friend,Matching,Self,Self,Self,598,0.598,1,United Kingdom
192,1,Self,Nonmatching,Friend,Friend,Close,816,0.816,1,United Kingdom
193,1,Self,Nonmatching,Friend,Friend,Close,947,0.947,1,United Kingdom
194,1,Self,Nonmatching,Friend,Friend,Close,916,0.916,1,United Kingdom
195,1,Self,Nonmatching,Friend,Friend,Close,740,0.74,1,United Kingdom
196,1,Self,Nonmatching,Friend,Friend,Close,987,0.987,1,United Kingdom
197,1,Self,Nonmatching,Friend,Friend,Close,822,0.822,0,United Kingdom
198,1,Self,Nonmatching,Friend,Friend,Close,986,0.986,0,United Kingdom
199,1,Self,Nonmatching,Friend,Friend,Close,691,0.691,1,United Kingdom
200,1,Self,Nonmatching,Friend,Friend,Close,695,0.695,1,United Kingdom
201,1,Self,Nonmatching,Friend,Friend,Close,629,0.629,1,United Kingdom
202,1,Self,Nonmatching,Friend,Friend,Close,831,0.831,1,United Kingdom
203,1,Self,Nonmatching,Friend,Friend,Close,558,0.558,1,United Kingdom
204,1,Self,Nonmatching,Friend,Friend,Close,402,0.402,1,United Kingdom
205,1,Self,Nonmatching,Friend,Friend,Close,662,0.662,1,United Kingdom
206,1,Self,Nonmatching,Friend,Friend,Close,968,0.968,1,United Kingdom
207,1,Self,Nonmatching,Friend,Friend,Close,816,0.816,1,United Kingdom
208,1,Self,Nonmatching,Friend,Friend,Close,658,0.658,0,United Kingdom
209,1,Self,Nonmatching,Friend,Friend,Close,932,0.932,0,United Kingdom
210,1,Self,Nonmatching,Friend,Friend,Close,595,0.595,1,United Kingdom
211,1,Self,Nonmatching,Friend,Friend,Close,719,0.719,1,United Kingdom
212,1,Self,Nonmatching,Friend,Friend,Close,704,0.704,1,United Kingdom
213,1,Self,Nonmatching,Friend,Friend,Close,637,0.637,0,United Kingdom
214,1,Self,Nonmatching,Friend,Friend,Close,828,0.828,1,United Kingdom
215,1,Self,Nonmatching,Friend,Friend,Close,695,0.695,1,United Kingdom
216,1,Friend,Nonmatching,Friend,Friend,Close,774,0.774,1,United Kingdom
217,1,Friend,Nonmatching,Friend,Friend,Close,674,0.674,1,United Kingdom
218,1,Friend,Nonmatching,Friend,Friend,Close,594,0.594,1,United Kingdom
219,1,Friend,Nonmatching,Friend,Friend,Close,537,0.537,1,United Kingdom
220,1,Friend,Nonmatching,Friend,Friend,Close,655,0.655,1,United Kingdom
221,1,Friend,Nonmatching,Friend,Friend,Close,893,0.893,1,United Kingdom
222,1,Friend,Nonmatching,Friend,Friend,Close,761,0.761,1,United Kingdom
223,1,Friend,Nonmatching,Friend,Friend,Close,1093,1.093,0,United Kingdom
224,1,Friend,Nonmatching,Friend,Friend,Close,574,0.574,1,United Kingdom
225,1,Friend,Nonmatching,Friend,Friend,Close,928,0.928,1,United Kingdom
226,1,Friend,Nonmatching,Friend,Friend,Close,839,0.839,1,United Kingdom
227,1,Friend,Nonmatching,Friend,Friend,Close,729,0.729,1,United Kingdom
228,1,Friend,Nonmatching,Friend,Friend,Close,929,0.929,1,United Kingdom
229,1,Friend,Nonmatching,Friend,Friend,Close,646,0.646,1,United Kingdom
230,1,Friend,Nonmatching,Friend,Friend,Close,701,0.701,1,United Kingdom
231,1,Friend,Nonmatching,Friend,Friend,Close,560,0.56,1,United Kingdom
232,1,Friend,Nonmatching,Friend,Friend,Close,689,0.689,1,United Kingdom
233,1,Friend,Nonmatching,Friend,Friend,Close,674,0.674,1,United Kingdom
234,1,Friend,Nonmatching,Friend,Friend,Close,616,0.616,1,United Kingdom
235,1,Friend,Nonmatching,Friend,Friend,Close,487,0.487,1,United Kingdom
236,1,Friend,Nonmatching,Friend,Friend,Close,440,0.44,1,United Kingdom
237,1,Friend,Nonmatching,Friend,Friend,Close,438,0.438,1,United Kingdom
238,1,Friend,Nonmatching,Friend,Friend,Close,838,0.838,1,United Kingdom
239,1,Friend,Nonmatching,Friend,Friend,Close,501,0.501,1,United Kingdom
240,1,Friend,Nonmatching,Friend,Friend,Close,761,0.761,1,United Kingdom
241,1,Friend,Nonmatching,Friend,Friend,Close,556,0.556,1,United Kingdom
242,1,Friend,Nonmatching,Friend,Friend,Close,870,0.87,1,United Kingdom
243,1,Friend,Nonmatching,Friend,Friend,Close,740,0.74,0,United Kingdom
244,1,Friend,Nonmatching,Friend,Friend,Close,916,0.916,1,United Kingdom
245,1,Friend,Nonmatching,Friend,Friend,Close,646,0.646,0,United Kingdom
246,1,Friend,Nonmatching,Friend,Friend,Close,680,0.68,1,United Kingdom
247,1,Friend,Nonmatching,Friend,Friend,Close,562,0.562,1,United Kingdom
248,1,Friend,Nonmatching,Friend,Friend,Close,781,0.781,1,United Kingdom
249,1,Friend,Nonmatching,Friend,Friend,Close,601,0.601,0,United Kingdom
250,1,Friend,Nonmatching,Friend,Friend,Close,502,0.502,1,United Kingdom
251,1,Friend,Nonmatching,Friend,Friend,Close,1078,1.078,1,United Kingdom
252,1,Friend,Nonmatching,Friend,Friend,Close,572,0.572,0,United Kingdom
253,1,Friend,Nonmatching,Friend,Friend,Close,488,0.488,0,United Kingdom
254,1,Friend,Nonmatching,Friend,Friend,Close,503,0.503,1,United Kingdom
255,1,Friend,Nonmatching,Friend,Friend,Close,640,0.64,1,United Kingdom
256,1,Friend,Nonmatching,Friend,Friend,Close,716,0.716,1,United Kingdom
