,Subject,Gender,Age,Handedness,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
1,1,female,20,right,Matching,Bekannter,Acquaintance,Close,571,0.571,0,Germany
2,1,female,20,right,Matching,Bekannter,Acquaintance,Close,546,0.546,1,Germany
3,1,female,20,right,Matching,Bekannter,Acquaintance,Close,499,0.499,1,Germany
4,1,female,20,right,Matching,Bekannter,Acquaintance,Close,612,0.612,1,Germany
5,1,female,20,right,Matching,Bekannter,Acquaintance,Close,492,0.492,1,Germany
6,1,female,20,right,Matching,Bekannter,Acquaintance,Close,516,0.516,1,Germany
7,1,female,20,right,Matching,Bekannter,Acquaintance,Close,408,0.408,1,Germany
8,1,female,20,right,Matching,Bekannter,Acquaintance,Close,459,0.459,1,Germany
9,1,female,20,right,Matching,Bekannter,Acquaintance,Close,462,0.462,1,Germany
10,1,female,20,right,Matching,Bekannter,Acquaintance,Close,435,0.435,1,Germany
11,1,female,20,right,Matching,Bekannter,Acquaintance,Close,502,0.502,1,Germany
12,1,female,20,right,Matching,Bekannter,Acquaintance,Close,473,0.473,1,Germany
13,1,female,20,right,Matching,Bekannter,Acquaintance,Close,380,0.38,1,Germany
14,1,female,20,right,Matching,Bekannter,Acquaintance,Close,574,0.574,1,Germany
15,1,female,20,right,Matching,Bekannter,Acquaintance,Close,472,0.472,1,Germany
16,1,female,20,right,Matching,Bekannter,Acquaintance,Close,385,0.385,1,Germany
17,1,female,20,right,Matching,Bekannter,Acquaintance,Close,495,0.495,1,Germany
18,1,female,20,right,Matching,Bekannter,Acquaintance,Close,483,0.483,1,Germany
19,1,female,20,right,Matching,Ich,Self,Self,1899,1.899,0,Germany
20,1,female,20,right,Matching,Ich,Self,Self,442,0.442,1,Germany
21,1,female,20,right,Matching,Ich,Self,Self,613,0.613,1,Germany
22,1,female,20,right,Matching,Ich,Self,Self,864,0.864,1,Germany
23,1,female,20,right,Matching,Ich,Self,Self,594,0.594,1,Germany
24,1,female,20,right,Matching,Ich,Self,Self,728,0.728,1,Germany
25,1,female,20,right,Matching,Ich,Self,Self,399,0.399,1,Germany
26,1,female,20,right,Matching,Ich,Self,Self,489,0.489,1,Germany
27,1,female,20,right,Matching,Ich,Self,Self,495,0.495,1,Germany
28,1,female,20,right,Matching,Ich,Self,Self,626,0.626,1,Germany
29,1,female,20,right,Matching,Ich,Self,Self,578,0.578,1,Germany
30,1,female,20,right,Matching,Ich,Self,Self,661,0.661,1,Germany
31,1,female,20,right,Matching,Ich,Self,Self,392,0.392,1,Germany
32,1,female,20,right,Matching,Ich,Self,Self,456,0.456,0,Germany
33,1,female,20,right,Matching,Ich,Self,Self,550,0.55,1,Germany
34,1,female,20,right,Matching,Ich,Self,Self,418,0.418,0,Germany
35,1,female,20,right,Matching,Ich,Self,Self,366,0.366,1,Germany
36,1,female,20,right,Matching,Ich,Self,Self,410,0.41,1,Germany
37,1,female,20,right,Matching,Mutter,Mother,Close,854,0.854,1,Germany
38,1,female,20,right,Matching,Mutter,Mother,Close,1070,1.07,1,Germany
39,1,female,20,right,Matching,Mutter,Mother,Close,517,0.517,1,Germany
40,1,female,20,right,Matching,Mutter,Mother,Close,531,0.531,1,Germany
41,1,female,20,right,Matching,Mutter,Mother,Close,637,0.637,1,Germany
42,1,female,20,right,Matching,Mutter,Mother,Close,506,0.506,1,Germany
43,1,female,20,right,Matching,Mutter,Mother,Close,518,0.518,1,Germany
44,1,female,20,right,Matching,Mutter,Mother,Close,592,0.592,1,Germany
45,1,female,20,right,Matching,Mutter,Mother,Close,615,0.615,1,Germany
46,1,female,20,right,Matching,Mutter,Mother,Close,525,0.525,1,Germany
47,1,female,20,right,Matching,Mutter,Mother,Close,477,0.477,1,Germany
48,1,female,20,right,Matching,Mutter,Mother,Close,655,0.655,1,Germany
49,1,female,20,right,Matching,Mutter,Mother,Close,429,0.429,1,Germany
50,1,female,20,right,Matching,Mutter,Mother,Close,596,0.596,1,Germany
51,1,female,20,right,Matching,Mutter,Mother,Close,413,0.413,0,Germany
52,1,female,20,right,Matching,Mutter,Mother,Close,501,0.501,1,Germany
53,1,female,20,right,Matching,Mutter,Mother,Close,494,0.494,1,Germany
54,1,female,20,right,Matching,Mutter,Mother,Close,391,0.391,1,Germany
55,1,female,20,right,Matching,none,none,NonPerson,691,0.691,1,Germany
56,1,female,20,right,Matching,none,none,NonPerson,1106,1.106,1,Germany
57,1,female,20,right,Matching,none,none,NonPerson,679,0.679,1,Germany
58,1,female,20,right,Matching,none,none,NonPerson,459,0.459,1,Germany
59,1,female,20,right,Matching,none,none,NonPerson,486,0.486,1,Germany
60,1,female,20,right,Matching,none,none,NonPerson,482,0.482,1,Germany
61,1,female,20,right,Matching,none,none,NonPerson,612,0.612,1,Germany
62,1,female,20,right,Matching,none,none,NonPerson,483,0.483,1,Germany
63,1,female,20,right,Matching,none,none,NonPerson,512,0.512,1,Germany
64,1,female,20,right,Matching,none,none,NonPerson,463,0.463,1,Germany
65,1,female,20,right,Matching,none,none,NonPerson,461,0.461,1,Germany
66,1,female,20,right,Matching,none,none,NonPerson,492,0.492,1,Germany
67,1,female,20,right,Matching,none,none,NonPerson,455,0.455,1,Germany
68,1,female,20,right,Matching,none,none,NonPerson,400,0.4,0,Germany
69,1,female,20,right,Matching,none,none,NonPerson,442,0.442,1,Germany
70,1,female,20,right,Matching,none,none,NonPerson,408,0.408,1,Germany
71,1,female,20,right,Matching,none,none,NonPerson,515,0.515,1,Germany
72,1,female,20,right,Matching,none,none,NonPerson,403,0.403,1,Germany
73,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,1358,1.358,1,Germany
74,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,751,0.751,1,Germany
75,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,534,0.534,1,Germany
76,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,630,0.63,1,Germany
77,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,518,0.518,1,Germany
78,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,533,0.533,1,Germany
79,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,554,0.554,1,Germany
80,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,528,0.528,1,Germany
81,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,599,0.599,1,Germany
82,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,575,0.575,1,Germany
83,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,515,0.515,1,Germany
84,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,433,0.433,1,Germany
85,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,418,0.418,1,Germany
86,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,484,0.484,1,Germany
87,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,444,0.444,0,Germany
88,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,449,0.449,1,Germany
89,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,416,0.416,1,Germany
90,1,female,20,right,Nonmatching,Bekannter,Acquaintance,Close,416,0.416,1,Germany
91,1,female,20,right,Nonmatching,Ich,Self,Self,660,0.66,1,Germany
92,1,female,20,right,Nonmatching,Ich,Self,Self,742,0.742,1,Germany
93,1,female,20,right,Nonmatching,Ich,Self,Self,603,0.603,1,Germany
94,1,female,20,right,Nonmatching,Ich,Self,Self,626,0.626,1,Germany
95,1,female,20,right,Nonmatching,Ich,Self,Self,462,0.462,1,Germany
96,1,female,20,right,Nonmatching,Ich,Self,Self,617,0.617,1,Germany
97,1,female,20,right,Nonmatching,Ich,Self,Self,434,0.434,1,Germany
98,1,female,20,right,Nonmatching,Ich,Self,Self,556,0.556,1,Germany
99,1,female,20,right,Nonmatching,Ich,Self,Self,494,0.494,1,Germany
100,1,female,20,right,Nonmatching,Ich,Self,Self,491,0.491,1,Germany
101,1,female,20,right,Nonmatching,Ich,Self,Self,493,0.493,1,Germany
102,1,female,20,right,Nonmatching,Ich,Self,Self,496,0.496,1,Germany
103,1,female,20,right,Nonmatching,Ich,Self,Self,458,0.458,1,Germany
104,1,female,20,right,Nonmatching,Ich,Self,Self,542,0.542,1,Germany
105,1,female,20,right,Nonmatching,Ich,Self,Self,499,0.499,1,Germany
106,1,female,20,right,Nonmatching,Ich,Self,Self,498,0.498,1,Germany
107,1,female,20,right,Nonmatching,Ich,Self,Self,486,0.486,1,Germany
108,1,female,20,right,Nonmatching,Ich,Self,Self,458,0.458,1,Germany
109,1,female,20,right,Nonmatching,Mutter,Mother,Close,1282,1.282,1,Germany
110,1,female,20,right,Nonmatching,Mutter,Mother,Close,797,0.797,0,Germany
111,1,female,20,right,Nonmatching,Mutter,Mother,Close,504,0.504,1,Germany
112,1,female,20,right,Nonmatching,Mutter,Mother,Close,695,0.695,1,Germany
113,1,female,20,right,Nonmatching,Mutter,Mother,Close,461,0.461,1,Germany
114,1,female,20,right,Nonmatching,Mutter,Mother,Close,812,0.812,1,Germany
115,1,female,20,right,Nonmatching,Mutter,Mother,Close,382,0.382,1,Germany
116,1,female,20,right,Nonmatching,Mutter,Mother,Close,482,0.482,0,Germany
117,1,female,20,right,Nonmatching,Mutter,Mother,Close,393,0.393,1,Germany
118,1,female,20,right,Nonmatching,Mutter,Mother,Close,421,0.421,1,Germany
119,1,female,20,right,Nonmatching,Mutter,Mother,Close,396,0.396,1,Germany
120,1,female,20,right,Nonmatching,Mutter,Mother,Close,568,0.568,1,Germany
121,1,female,20,right,Nonmatching,Mutter,Mother,Close,500,0.5,1,Germany
122,1,female,20,right,Nonmatching,Mutter,Mother,Close,351,0.351,1,Germany
123,1,female,20,right,Nonmatching,Mutter,Mother,Close,603,0.603,1,Germany
124,1,female,20,right,Nonmatching,Mutter,Mother,Close,483,0.483,1,Germany
125,1,female,20,right,Nonmatching,Mutter,Mother,Close,461,0.461,1,Germany
126,1,female,20,right,Nonmatching,Mutter,Mother,Close,497,0.497,1,Germany
127,1,female,20,right,Nonmatching,none,none,NonPerson,725,0.725,1,Germany
128,1,female,20,right,Nonmatching,none,none,NonPerson,906,0.906,1,Germany
129,1,female,20,right,Nonmatching,none,none,NonPerson,715,0.715,1,Germany
130,1,female,20,right,Nonmatching,none,none,NonPerson,1037,1.037,1,Germany
131,1,female,20,right,Nonmatching,none,none,NonPerson,534,0.534,1,Germany
132,1,female,20,right,Nonmatching,none,none,NonPerson,620,0.62,1,Germany
133,1,female,20,right,Nonmatching,none,none,NonPerson,580,0.58,1,Germany
134,1,female,20,right,Nonmatching,none,none,NonPerson,572,0.572,1,Germany
135,1,female,20,right,Nonmatching,none,none,NonPerson,661,0.661,1,Germany
136,1,female,20,right,Nonmatching,none,none,NonPerson,651,0.651,1,Germany
137,1,female,20,right,Nonmatching,none,none,NonPerson,466,0.466,0,Germany
138,1,female,20,right,Nonmatching,none,none,NonPerson,539,0.539,1,Germany
139,1,female,20,right,Nonmatching,none,none,NonPerson,497,0.497,1,Germany
140,1,female,20,right,Nonmatching,none,none,NonPerson,395,0.395,1,Germany
141,1,female,20,right,Nonmatching,none,none,NonPerson,525,0.525,1,Germany
142,1,female,20,right,Nonmatching,none,none,NonPerson,364,0.364,1,Germany
143,1,female,20,right,Nonmatching,none,none,NonPerson,504,0.504,0,Germany
144,1,female,20,right,Nonmatching,none,none,NonPerson,514,0.514,1,Germany
145,2,female,21,left,Matching,Bekannter,Acquaintance,Close,2434,2.434,1,Germany
146,2,female,21,left,Matching,Bekannter,Acquaintance,Close,459,0.459,0,Germany
147,2,female,21,left,Matching,Bekannter,Acquaintance,Close,653,0.653,1,Germany
148,2,female,21,left,Matching,Bekannter,Acquaintance,Close,789,0.789,1,Germany
149,2,female,21,left,Matching,Bekannter,Acquaintance,Close,324,0.324,1,Germany
150,2,female,21,left,Matching,Bekannter,Acquaintance,Close,724,0.724,1,Germany
151,2,female,21,left,Matching,Bekannter,Acquaintance,Close,399,0.399,1,Germany
152,2,female,21,left,Matching,Bekannter,Acquaintance,Close,476,0.476,0,Germany
153,2,female,21,left,Matching,Bekannter,Acquaintance,Close,506,0.506,1,Germany
154,2,female,21,left,Matching,Bekannter,Acquaintance,Close,443,0.443,1,Germany
155,2,female,21,left,Matching,Bekannter,Acquaintance,Close,510,0.51,1,Germany
156,2,female,21,left,Matching,Bekannter,Acquaintance,Close,618,0.618,1,Germany
157,2,female,21,left,Matching,Bekannter,Acquaintance,Close,428,0.428,1,Germany
158,2,female,21,left,Matching,Bekannter,Acquaintance,Close,666,0.666,1,Germany
159,2,female,21,left,Matching,Bekannter,Acquaintance,Close,353,0.353,1,Germany
160,2,female,21,left,Matching,Bekannter,Acquaintance,Close,564,0.564,1,Germany
161,2,female,21,left,Matching,Bekannter,Acquaintance,Close,660,0.66,1,Germany
162,2,female,21,left,Matching,Bekannter,Acquaintance,Close,500,0.5,1,Germany
163,2,female,21,left,Matching,Ich,Self,Self,394,0.394,1,Germany
164,2,female,21,left,Matching,Ich,Self,Self,455,0.455,0,Germany
165,2,female,21,left,Matching,Ich,Self,Self,544,0.544,1,Germany
166,2,female,21,left,Matching,Ich,Self,Self,352,0.352,1,Germany
