id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
3,11,30,30,10,30,8,0,3,2,2,2,4,3,3,1,1,1,2,1,4,2
4,1,30,30,11,0,9,0,2,2,1,1,2,1,1,3,1,1,2,1,3,3
5,23,30,25,8,30,6,0,3,2,1,1,1,2,1,3,1,1,1,1,1,1
6,11,45,20,6,20,6,10,1,1,2,1,2,1,1,2,1,1,1,1,2,2
15,11,30,15,6,30,7,15,2,3,3,2,2,3,3,2,2,2,3,1,4,3
19,0,48,10,11,30,8,50,2,3,3,2,3,3,3,2,2,2,3,1,2,2
20,11,30,30,10,10,8,20,2,3,2,2,3,2,2,2,1,1,2,1,2,1
22,12,30,10,10,30,6,30,3,3,3,2,3,2,3,2,2,3,3,1,4,3
23,23,0,10,8,0,7,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1
25,12,30,200,7,0,6,0,2,3,2,3,2,2,2,2,2,2,1,3,4,2
27,10,30,15,5,35,6,45,2,2,1,1,2,2,2,1,1,1,1,1,2,2
28,0,30,60,6,40,6,0,4,2,1,1,1,1,1,2,1,4,3,1,4,3
29,12,30,60,12,0,8,30,1,1,3,1,1,1,1,1,1,1,1,1,1,1
30,8,30,8,8,30,8,30,2,2,1,1,1,1,1,1,1,1,2,1,1,1
31,23,45,30,8,30,8,30,3,2,1,1,1,3,4,3,1,1,2,1,2,2
34,12,0,15,8,0,8,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1
36,1,10,20,8,30,7,0,2,2,2,1,1,1,2,2,1,2,2,1,3,2
37,11,30,5,7,30,7,55,1,1,1,1,2,1,3,1,1,1,1,1,3,1
38,0,30,30,10,0,8,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1
39,11,0,30,9,0,8,0,2,3,2,3,2,3,2,3,2,3,1,1,1,1
41,12,30,30,10,10,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,11,30,30,8,30,7,30,4,3,1,1,2,3,1,1,1,2,1,1,3,2
44,2,30,60,12,30,10,20,3,4,2,1,2,2,4,4,2,4,3,3,3,3
46,12,0,30,9,0,8,0,4,3,4,1,2,3,3,1,2,1,2,1,2,2
47,0,30,10,10,30,8,30,4,4,1,1,1,2,1,3,1,1,3,1,4,2
48,10,30,90,8,0,8,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1
49,10,30,10,7,30,8,30,4,4,4,4,4,4,4,4,4,4,1,1,1,1
51,12,0,5,9,30,9,30,2,1,1,1,1,2,3,1,1,1,2,1,4,4
53,2,0,120,11,0,10,0,1,2,1,1,2,3,1,2,1,1,1,1,2,2
54,11,0,30,9,0,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,12,0,120,9,0,6,0,4,1,3,1,1,2,1,1,1,1,3,1,3,3
56,23,30,60,9,0,7,30,3,2,1,1,1,1,1,2,1,1,2,1,3,2
57,1,30,30,8,0,6,0,3,4,1,1,1,4,2,3,2,3,3,2,3,3
59,12,0,20,7,40,7,30,1,1,1,1,1,1,2,1,1,1,2,1,3,2
60,11,0,60,8,30,8,30,1,2,1,1,1,1,1,1,1,1,2,1,2,2
61,0,30,10,8,30,6,0,3,1,1,1,1,1,1,2,1,1,2,1,4,4
62,11,1,30,8,30,8,30,1,1,1,1,1,3,1,2,1,1,2,1,1,2
63,1,30,120,11,30,9,0,2,1,1,1,1,2,2,1,1,1,1,1,3,2
