"","participant","avg_rt_matching","avg_rt_nonmatching","sd_matching","sd_nonmatching","IAT_score"
"1",1,603.14033028,609.061442775,179.701581976226,136.058884435533,-0.0375038240998722
"2",2,572.75213553,736.086527645,63.9046352402765,369.154717792085,-0.754327973619794
"3",3,858.64794244,748.25951139,336.901721425899,222.790511744538,0.394461186015367
"4",4,582.785865655,617.59526087,73.8422251026923,153.431240734833,-0.306321682442989
"5",5,598.668170725,608.62780428,124.861316747835,114.909170665239,-0.0830763924489309
"6",6,440.00056991,440.958655905,72.2219083316837,93.5371570540753,-0.0115599830726638
"7",7,804.87517355,853.448792665,185.839881293992,242.800405825984,-0.226640474890333
"8",8,791.758746435,648.698163895,355.949981807389,220.056574850525,0.496732479470586
"9",9,802.412164955,746.103315205,306.815133728866,215.382430800038,0.215661096775886
"10",10,871.067398035,732.715404515,339.250625786479,352.295555677778,0.400123656896082
"11",11,571.663843355,893.26555338,71.9641036181639,420.420177549354,-1.3063037238412
"12",12,773.751889105,838.759498285,322.288289159222,173.215281151317,-0.26239007375571
"13",13,537.38815559,627.52261933,134.057623009205,217.878338812707,-0.512220821500533
"14",14,1096.05364424,1300.92429868,408.043361399922,635.372333029911,-0.392692299979157
"15",15,715.964278955,777.814023465,81.6029336837299,127.241846427339,-0.592303475117803
"16",16,1131.043044905,916.335181435,464.301069952738,309.60174776019,0.554870349495597
"17",17,572.349776055,585.74628244,91.2609754147668,133.339082326933,-0.11929210098785
"18",18,1155.65281569,1185.845646345,956.977369886859,539.26853620639,-0.0403581129706609
"19",19,623.88645178,955.483733675,209.171679042668,832.09445151641,-0.636911683119777
"20",20,509.768180925,847.550483585,137.678889395657,363.758809019924,-1.34725531697082
"21",21,710.69773266,891.683625275,270.723695580434,455.553788326391,-0.498393235713249
"22",22,817.434849275,673.1140863,385.283229557191,431.047020171345,0.353584258388055
"23",23,663.992141145,621.6644944,118.479261359393,73.2705855927142,0.441488193266429
"24",24,896.281513285,688.2082197,189.894182962199,269.142691080606,0.906564615397746
"25",25,494.25303499,615.319190555,108.141899513343,121.921713611419,-1.05245809122668
"26",26,709.21948191,662.52376643,221.750990429299,153.793551292969,0.24868270094328
"27",27,625.725022455,552.14408918,369.605469005274,99.0909873450485,0.313981180263085
"28",28,565.13984369,562.811586115,63.4306340278418,95.7739333863888,0.029248627885684
"29",29,717.318263025,647.72036618,210.310015380188,110.272670125607,0.434196230748973
"30",30,539.313305755,957.50483694,190.992115596067,579.112857425985,-1.08606370776682
"31",31,671.90562718,657.317909405,171.539518690753,171.534237948011,0.0850412920995294
"32",32,690.416642435,850.56232013,140.417056992145,219.014742317879,-0.89110467133081
"33",33,709.90293184,572.850992255,600.10863595296,186.423440249344,0.348496758699892
"34",34,628.09062559,685.28544341,218.499026218632,176.647576590113,-0.2894865723934
"35",35,683.484079835,818.862835295,195.621698883209,258.814452177899,-0.595809797015007
"36",36,645.012312465,755.063566595,106.895298567028,169.642943140539,-0.79592069039317
"37",37,664.811382045,600.87440561,168.972533991599,108.562343411358,0.460749128421571
"38",38,527.11744914,790.897237845,139.67843226191,245.247775238992,-1.37054730784669
"39",39,885.92480218,912.70927759,235.377774895955,271.464024389426,-0.105691659400486
"40",40,691.96066475,647.606878095,356.264447070781,224.763128003511,0.152673602967394
